      sa,       sf
T-01:00:00: hp: -0.04376, hv:  0.99901, angle:  272.508, qeta:   30.410
T-01:00:00: hp: -0.04347, hv:  0.99905, angle:  272.492, qeta:   29.425
T-01:00:00: hp: -0.04319, hv:  0.99907, angle:  272.475, qeta:   28.445
T-01:00:00: hp: -0.04290, hv:  0.99908, angle:  272.459, qeta:   27.465
T-01:00:00: hp: -0.04262, hv:  0.99909, angle:  272.442, qeta:   26.485
T-01:00:00: hp: -0.04233, hv:  0.99910, angle:  272.426, qeta:   25.505
T-01:00:00: hp: -0.04204, hv:  0.99912, angle:  272.410, qeta:   24.525
T-01:00:00: hp: -0.04176, hv:  0.99913, angle:  272.393, qeta:   23.545
T-01:00:00: hp: -0.04147, hv:  0.99914, angle:  272.377, qeta:   22.565
T-01:00:00: hp: -0.04119, hv:  0.99915, angle:  272.361, qeta:   21.585
T-01:00:00: hp: -0.04090, hv:  0.99916, angle:  272.344, qeta:   20.605
T-01:00:00: hp: -0.04062, hv:  0.99917, angle:  272.328, qeta:   19.625
